customer_id,age,gender,city,department,latitude,longitude,income_bracket,occupation,education_level,marital_status,household_size,acquisition_channel,customer_segment,savings_account,credit_card,personal_loan,investment_account,insurance_product,active_products,app_logins_frequency,feature_usage_diversity,bill_payment_user,auto_savings_enabled,credit_utilization_ratio,international_transactions,failed_transactions,tx_count,avg_tx_value,total_tx_volume,first_tx,last_tx,base_satisfaction,tx_satisfaction,product_satisfaction,satisfaction_score,nps_score,last_survey_date,support_tickets_count,resolved_tickets_ratio,app_store_rating,feedback_sentiment,feature_requests,complaint_topics,clv_segment,monthly_transaction_count,average_transaction_value,total_transaction_volume,transaction_frequency,last_transaction_date,preferred_transaction_type,first_transaction_date,weekend_transaction_ratio,avg_daily_transactions,customer_tenure,churn_probability,customer_lifetime_value
93716481,44,Male,Pereira,Risaralda,4.7854606,-75.788322,Very High,Engineer,Master,Married,5,Partnership,occasional,TRUE,TRUE,FALSE,FALSE,TRUE,1,15,3,FALSE,FALSE,0.178710291,1,0,76,1679872.368,127670300,1/5/23,12/25/23,9.213371699,0.38,0.6,5,-7,12/16/23,1,0,3.5,Neutral,Budgeting tools,,Gold,1.428571429,6054025,60540250,0.030769231,12/5/23,Transfer,1/5/23,0.3,0.030769231,11.63333333,0.362268822,312414808
49020929,44,Male,Cali,Valle del Cauca,3.4108435,-76.5812127,Medium,Construction Worker,Bachelor,Married,2,Paid Ad,regular,TRUE,FALSE,FALSE,FALSE,FALSE,5,30,0,TRUE,FALSE,,1,0,10,5445810,54458100,2/5/23,12/20/23,6.073093233,0.05,0.2,3,-46,5/5/23,1,1,4,Positive,,,Bronze,1.571428571,2127413.636,23401550,0.032934132,12/18/23,Transfer,2/5/23,0.181818182,0.032934132,11.5,0.181789628,167022286.1
52690950,45,Male,Barranquilla,Atlantico,11.0101922,-74.8231794,High,Construction Worker,Bachelor,Married,4,Paid Ad,inactive,TRUE,FALSE,FALSE,TRUE,TRUE,3,4,4,TRUE,FALSE,,1,0,10,640335,6403350,1/31/23,12/12/23,8.198642652,0.05,0.6,4,-29,11/16/23,0,0,5,Positive,,,Gold,2.5,3575915,35759150,0.05,10/27/23,Transfer,1/31/23,0.3,0.05,8.766666667,0.321265102,19403710.87
23199751,45,Male,Bogota,Cundinamarca,4.6533817,-74.0836331,High,Electrician,High School,Single,2,Referral,inactive,TRUE,FALSE,FALSE,TRUE,FALSE,2,15,4,TRUE,FALSE,,1,1,23,660180.4348,15184150,1/10/23,12/24/23,7.529577053,0.115,0.4,4,-31,5/7/23,2,0.5,4.5,Positive,"Cryptocurrency trading, Budgeting tools",,Bronze,1.555555556,1513353.571,21186950,0.04778157,11/30/23,Transfer,1/10/23,0.142857143,0.04778157,10.73333333,0.336628682,35978105.09
61997066,44,Female,Bogota,Cundinamarca,4.6533817,-74.0836331,Medium,Cleaner,Bachelor,Married,3,Paid Ad,power,TRUE,TRUE,FALSE,FALSE,FALSE,1,19,1,FALSE,FALSE,0.403605533,0,0,18,14574469.44,262340450,1/5/23,11/27/23,6.605627014,0.09,0.4,3,-47,9/15/23,2,1,4,Positive,International transfers,App performance,Gold,2.111111111,612673.6842,11640800,0.061889251,11/17/23,Payment,1/5/23,0.315789474,0.061889251,11.63333333,0.398150714,304661996.6
85721098,45,Female,Bogota,Cundinamarca,4.6533817,-74.0836331,Medium,Architect,PhD,Married,4,Referral,inactive,TRUE,TRUE,FALSE,TRUE,FALSE,1,15,4,TRUE,TRUE,0.077864322,0,0,15,573653.3333,8604800,1/29/23,11/29/23,7.630346083,0.075,0.6,4,-29,11/13/23,1,1,4,Positive,International transfers,,Bronze,1.363636364,4092476.667,61387150,0.042372881,12/28/23,Transfer,1/29/23,0.2,0.042372881,11.83333333,0.386628682,21985594.7
97779724,44,Male,Bogota,Cundinamarca,4.6533817,-74.0836331,Medium,Cleaner,Master,Single,4,Organic,inactive,TRUE,TRUE,FALSE,FALSE,FALSE,1,44,6,TRUE,FALSE,0.153203227,0,1,24,477891.6667,11469400,1/16/23,12/19/23,7.735527478,0.12,0.4,4,-34,4/27/23,1,1,5,Positive,,,Bronze,2.166666667,1969661.538,25605600,0.045614035,10/26/23,Payment,1/16/23,0.230769231,0.045614035,11.63333333,0.348334705,34936761.07
65536017,44,Male,Bogota,Cundinamarca,4.6533817,-74.0836331,Medium,Artist,Bachelor,Married,3,Referral,regular,TRUE,FALSE,FALSE,TRUE,FALSE,4,22,1,FALSE,TRUE,,0,1,45,4607238.889,207325750,1/8/23,12/26/23,8.313736941,0.225,0.4,4,-36,3/19/23,0,0,4.5,Positive,,Fees,Platinum,1.714285714,5264470.833,63173650,0.038709677,11/21/23,Transfer,1/8/23,0.333333333,0.038709677,11.6,0.220541498,424437990.6
22020116,45,Male,Cartagena,Bolivar,10.3873369,-75.5196631,Medium,Firefighter,Master,Single,1,Organic,inactive,TRUE,TRUE,FALSE,TRUE,FALSE,2,7,1,TRUE,FALSE,0.255184466,0,0,134,580182.4627,77744450,1/5/23,12/29/23,8.608890119,0.67,0.6,5,-4,9/16/23,2,1,4.5,Positive,,Account security,Platinum,1.875,1695646.667,25434700,0.046153846,12/16/23,Transfer,1/5/23,0.466666667,0.046153846,11.26666667,0.337638614,196213544.2
14024733,44,Male,Bogota,Cundinamarca,4.6533817,-74.0836331,Medium,Journalist,Bachelor,Single,3,Paid Ad,power,TRUE,TRUE,TRUE,TRUE,FALSE,3,11,6,TRUE,TRUE,0.368855612,1,0,13,16273403.85,211554250,3/5/23,12/12/23,7.723135389,0.065,0.8,4,-27,8/13/23,0,0,4.5,Positive,"Cryptocurrency trading, Budgeting tools",Transaction issues,Platinum,5.181818182,1698612.281,96820900,0.166180758,12/20/23,Transfer,3/5/23,0.333333333,0.166180758,11.73333333,0.29494937,552929451.9
59375650,44,Male,Bogota,Cundinamarca,4.6533817,-74.0836331,Medium,Dentist,High School,Married,5,Referral,power,TRUE,TRUE,FALSE,FALSE,TRUE,1,7,3,TRUE,TRUE,0.292212997,0,1,18,13648505.56,245673100,4/8/23,12/28/23,6.76783457,0.09,0.6,4,-37,10/30/23,0,0,4.5,Positive,Mobile check deposit,App performance,Platinum,1.625,5162184.615,67108400,0.040752351,11/20/23,Transfer,4/8/23,0.076923077,0.040752351,11.93333333,0.407723198,754783448.5
72351782,44,Male,Bogota,Cundinamarca,4.6533817,-74.0836331,Low,Salesperson,High School,Single,3,Referral,regular,FALSE,FALSE,TRUE,FALSE,FALSE,5,30,1,TRUE,TRUE,,0,0,20,4365425,87308500,1/20/23,11/18/23,9.667388262,0.1,0.2,5,-11,8/9/23,2,1,4.5,Positive,"Budgeting tools, International transfers",,Gold,433.5,4802784.804,24984086550,14.4902507,12/29/23,Transfer,1/20/23,0.287004998,14.4902507,11.96666667,0.137345183,244031165.3
55312424,44,Male,Medellin,Antioquia,5.0743694,-75.5081167,Medium,Engineer,High School,Single,3,Organic,regular,TRUE,TRUE,FALSE,FALSE,TRUE,3,33,2,TRUE,FALSE,0.322542216,0,0,11,3633854.545,39972400,2/21/23,12/1/23,7.324193952,0.055,0.6,4,-29,9/1/23,3,0.333333333,4,Positive,,Fees,Silver,6.583333333,5165677.215,408088500,0.223163842,12/24/23,Transfer,2/21/23,0.303797468,0.223163842,11.96666667,0.25645938,124656683.4
77463602,45,Male,Villavicencio,Meta,4.1347644,-73.6201517,Medium,Designer,Master,Single,7,Organic,regular,TRUE,TRUE,FALSE,FALSE,TRUE,1,37,1,TRUE,FALSE,0.10769947,1,1,38,4643050,176435900,1/4/23,12/24/23,5.641716561,0.19,0.6,3,-55,11/5/23,1,0,5,Positive,Cryptocurrency trading,,Platinum,1.625,1193246.154,15512200,0.036619718,12/29/23,Payment,1/4/23,0.384615385,0.036619718,11.83333333,0.377337966,417417544.8
68026421,44,Male,Bogota,Cundinamarca,4.6533817,-74.0836331,Medium,Manager,High School,Married,3,Organic,regular,TRUE,TRUE,FALSE,FALSE,TRUE,1,41,3,TRUE,FALSE,0.172585911,0,0,13,3503692.308,45548000,2/26/23,12/10/23,7.454992126,0.065,0.6,4,-30,3/14/23,0,0,4,Positive,International transfers,,Bronze,4.416666667,4562549.057,241815100,0.148459384,12/29/23,Transfer,2/26/23,0.226415094,0.148459384,11.9,0.35012788,145087567.7
35258425,44,Male,Ibague,Tolima,4.4386033,-75.2108857,Low,Engineer,High School,Married,4,Organic,power,FALSE,FALSE,TRUE,TRUE,FALSE,1,15,5,FALSE,FALSE,,1,0,15,9487586.667,142313800,1/12/23,12/28/23,7.400969377,0.075,0.4,4,-38,3/26/23,2,1,4,Positive,International transfers,,Gold,1.555555556,14968521.43,209559300,0.04,12/28/23,Payment,1/12/23,0.214285714,0.04,11.7,0.384491045,375451871
49545274,45,Male,Bogota,Cundinamarca,4.6533817,-74.0836331,Low,Real Estate Agent,High School,Single,3,Referral,occasional,TRUE,FALSE,TRUE,FALSE,FALSE,1,19,0,TRUE,FALSE,,1,0,17,1756832.353,29866150,1/6/23,12/22/23,9.100023524,0.085,0.4,5,-11,12/29/23,1,0,4,Positive,,Transaction issues,Silver,1.5,822829.1667,9873950,0.036923077,12/26/23,Transfer,1/6/23,0.416666667,0.036923077,10.93333333,0.355843907,73597880.84
22937657,44,Male,Ibague,Tolima,4.4386033,-75.2108857,High,Programmer,Master,Single,4,Paid Ad,occasional,TRUE,FALSE,FALSE,FALSE,TRUE,2,19,0,TRUE,FALSE,,0,0,10,1234415,12344150,2/12/23,12/13/23,9.683751594,0.05,0.4,5,-17,9/29/23,1,1,3.5,Neutral,,Transaction issues,Gold,1.5,3874379.167,46492550,0.044776119,12/2/23,Transfer,2/12/23,0.333333333,0.044776119,9.833333333,0.30370627,43363260.65
38797372,45,Male,Bogota,Cundinamarca,4.6533817,-74.0836331,Medium,Insurance Agent,Bachelor,Married,3,Organic,regular,TRUE,TRUE,FALSE,FALSE,FALSE,2,30,3,TRUE,FALSE,0.353844797,0,1,45,4338665.556,195239950,1/9/23,12/19/23,7.126851754,0.225,0.4,4,-26,8/8/23,3,0.666666667,4,Positive,,Customer service,Platinum,2,2113603.125,33817650,0.047761194,12/16/23,Payment,1/9/23,0.1875,0.047761194,11.6,0.311705043,437165133.7
53739583,44,Male,Bogota,Cundinamarca,4.6533817,-74.0836331,High,Architect,Bachelor,Single,3,Paid Ad,occasional,TRUE,TRUE,TRUE,FALSE,FALSE,1,11,1,TRUE,FALSE,0.116240998,0,0,31,1817532.258,56343500,1/23/23,12/10/23,8.016038287,0.155,0.6,4,-33,10/2/23,2,1,4,Positive,,Fees,Silver,1.833333333,532313.6364,5855450,0.038461538,11/15/23,Transfer,1/23/23,0.272727273,0.038461538,11,0.39494937,143404928.7
